id,entidad_federativa,categoria_manejo,nombre_anp,suma_superficie_dentro_entidad
1,Aguascalientes,APRN,C.A.D.N.R. 001 Pabellón,57980
2,Aguascalientes,APRN,C.A.D.N.R. 043 Estado de Nayarit,65861
3,Baja California,RB,Alto Golfo de California y Delta del Río Colorado,193461
4,Baja California,RB,Complejo Lagunar Ojo de Liebre,12058
5,Baja California,PN,Constitución de 1857,5009
6,Baja California,RB,El Vizcaíno,69295
7,Baja California,RB,Isla Guadalupe,24405
8,Baja California,RB,Isla San Pedro Mártir,134
9,Baja California,APFF,Islas del Golfo de California,109742
10,Baja California,RB,Islas del Pacífico de la Península de Baja California,13790
11,Baja California,PN,Sierra de San Pedro Mártir,72911
12,Baja California,APFF,Valle de los Cirios,2521988
13,Baja California,RB,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",521
14,Baja California Sur,PN,Bahía de Loreto,21167
15,Baja California Sur,APFF,Balandra,1326
16,Baja California Sur,PN,Cabo Pulmo,39
17,Baja California Sur,APFF,Cabo San Lucas,195
18,Baja California Sur,RB,Complejo Lagunar Ojo de Liebre,65978
20,Baja California Sur,APFF,Islas del Golfo de California,67585
21,Baja California Sur,RB,Islas del Pacífico de la Península de Baja California,56350
22,Baja California Sur,RB,Sierra La Laguna,111286
23,Campeche,APFF,Bala'an K'aax,13155
25,Campeche,APFF,Laguna de Términos,541874
26,Campeche,RB,Los Petenes,100020
27,Campeche,RB,Pantanos de Centla,15093
28,Campeche,RB,Ría Celestún,23246
29,Chiapas,MN,Bonampak,4357
30,Chiapas,PN,Cañón del Sumidero,21789
31,Chiapas,APFF,Cascada de Agua Azul,2546
32,Chiapas,APFF,Chan-Kin,12185
33,Chiapas,RB,El Triunfo,119177
34,Chiapas,APRN,La Concordia,177546
35,Chiapas,RB,La Encrucijada,115653
36,Chiapas,RB,La Sepultura,167310
37,Chiapas,RB,Lacan-Tun,61874
38,Chiapas,PN,Lagunas de Montebello,6546
39,Chiapas,APFF,Metzabok,3368
40,Chiapas,RB,Montes Azules,331200
41,Chiapas,APFF,Nahá,3847
42,Chiapas,PN,Palenque,1772
44,Chiapas,RB,Selva El Ocote,101288
45,Chiapas,RB,Volcán Tacaná,6378
46,Chiapas,MN,Yaxchilán,2621
47,Chihuahua,APFF,Campo Verde,97310
48,Chihuahua,APFF,Cañón de Santa Elena,277210
49,Chihuahua,PN,Cascada de Bassaseachic,5776
50,Chihuahua,APFF,Cerro Mohinora,9042
51,Chihuahua,PN,Cumbres de Majalca,4701
52,Chihuahua,RB,Janos,526482
53,Chihuahua,RB,Mapimí,37325
54,Chihuahua,APFF,Médanos de Samalayuca,56134
55,Chihuahua,APFF,Ocampo,666
56,Chihuahua,APFF,Papigochic,221610
57,Chihuahua,MN,Río Bravo del Norte,726
58,Chihuahua,APFF,Sierra de Álamos-Río Cuchujaqui,552
59,Chihuahua,APFF,Tutuaca,384816
60,Ciudad de México,PN,Cerro de La Estrella,1178
61,Ciudad de México,APFF,Corredor Biológico Chichinautzin,360
62,Ciudad de México,PN,Cumbres del Ajusco,499
63,Ciudad de México,PN,Desierto de los Leones,1517
64,Ciudad de México,PN,El Histórico Coyoacán,40
65,Ciudad de México,PN,El Tepeyac,1500
66,Ciudad de México,PN,El Tepozteco,2531
67,Ciudad de México,PN,Fuentes Brotantes de Tlalpan,22
68,Ciudad de México,PN,Insurgente Miguel Hidalgo y Costilla,523
69,Ciudad de México,PN,Lomas de Padierna,1156
70,Coahuila,APRN,C.A.D.N.R. 004 Don Martín,1519385
71,Coahuila,APRN,C.A.D.N.R. 026 Bajo Río San Juan,86515
72,Coahuila,APFF,Cuatrociénegas,83609
73,Coahuila,PN,Cumbres de Monterrey,3827
74,Coahuila,PN,Los Novillos,38
75,Coahuila,APFF,Maderas del Carmen,207135
76,Coahuila,RB,Mapimí,83810
77,Coahuila,APFF,Ocampo,342700
78,Coahuila,MN,Río Bravo del Norte,1449
79,Colima,APFF,El Jabalí,5179
80,Colima,APRN,Las Huertas,165
81,Colima,PN,Revillagigedo,15488
82,Colima,RB,Sierra de Manantlán,14744
83,Colima,PN,Volcán Nevado de Colima,1277
85,Durango,RB,La Michilía,35000
86,Durango,RB,Mapimí,218652
87,Guanajuato,RB,Sierra Gorda,4067
88,Guanajuato,RB,Sierra Gorda de Guanajuato,234827
89,Guerrero,PN,El Veladero,3617
90,Guerrero,PN,General Juan Álvarez,346
91,Guerrero,PN,Grutas de Cacahuamilpa,1600
94,Guerrero,RB,Sierra de Huautla,8495
95,Hidalgo,RB,Barranca de Metztitlán,95334
96,Hidalgo,PN,El Chico,2721
